n1	t	n2
politique Adj II	Syn	stratégique a
politique Adj II	Syn	tactique Adj a
politique Adj II	Adv0	politiquement II
ville II	Syn	mairie 2
flash II	Syn	éclair 1 III
couché I.1a	Anti	debout I.a
couché I.1a	Syn	assis I.1a
couché I.1a	S2	lit I.1a
couché I.1a	S2	lit I.1b
couché I.1a	Pred	être V IV.2a
couché I.1a	Pred	allonger 2 I.1
couché I.1a	Pred	coucher V III
couché I.1a	Pred	s’allonger 2 I.a
couché I.1a	Pred	se coucher I.1a
couché I.1a	Pred	se coucher I.2
couché I.1a	V0	couché I.1a
couché I.1a	Pred	se remettre I
couché I.1a	Pred	remettre I.1
couché I.1a	Pred	se lever I.a
couché I.1a	Pred	rester II
tuniques rouges	Gener	troupe a
démarche II.1	Syn	politique N, fém I.2
démarche II.1	Syn	marche à suivre
démarche II.2	Syn	formalité
estuaire	Syn	delta
opéra 1 II	Fact2	donner III.2
opéra 1 II	S3	auditeur
opéra 1 II	S3	auditrice
opéra 1 II	S3	spectateur I
opéra 1 II	S3	spectatrice I
opéra 1 II	Cap	directeur N
opéra 1 II	Cap	directrice
opéra 1 II	Syn	maison lyrique
ouragan II.3	Syn	avalanche III
à dormir debout	Syn	invraisemblable
à dormir debout	Syn	incroyable I
cap	Syn	nez V
nez V	Syn	cap
nez V	Loc	à I.2
furtif	Syn	bref I
furtif	Syn	fugace
s’éteindre I.2	A1	éteint I
s’éteindre I.2	Syn	s’arrêter II.a
traverser III.2	Syn	pénétrer III
abdomen b	Contr	thorax b
répandre II.2	Syn	véhiculer II
sombre III	Syn	inquiétant
disparaître III	Syn	s’éteindre II
disparaître III	Syn	partir 1 IV.2a
se répandre II	Syn	circuler IV
se répandre II	Syn	courir VII.2
envahir III	Syn	gagner IV
talon rouge	Syn	noble N
abondance	Syn	profusion
profusion	Syn	abondance
profusion	Syn	trésors IV.2
rouge-queue	Gener	oiseau a
rouge-queue	Gener	oiseaux b
rouge-queue	Gener	passereaux
doigt I.1c	Mult	main I.b
doigt I.2	Syn	sabot I
doigt II	S1	gants a
craquelure	Syn	cheveu II
peau-rouge N, masc	Syn	peau-rouge N, fém
peau-rouge N, fém	Syn	peau-rouge N, masc
obscurcir II	Syn	assombrir II
assombrir II	Syn	obscurcir II
éloigner II	Syn	détourner III
philosophe N, fém	Syn	philosophe N, masc
philosophe N, masc	Syn	philosophe N, fém
philosophie I	S1	philosophe N, masc
philosophie I	S1	philosophe N, fém
philosophie I	A0	philosophique
philosophie I	Adv0	philosophiquement
philosophie I	Syn	philo
amont	Anti	aval
amont	S1	cours d’eau
amont	S1	fleuve I
amont	S1	rivière I
aval	S1	cours d’eau
aval	S1	fleuve I
aval	S1	rivière I
aval	Anti	amont
faire son miel	Syn	bénéficier
faire son miel	Syn	profiter 1
lune de miel II	Syn	voyage a
lune de miel II	S1	époux I.2
ne plus tenir debout	A1	fatigué I
lune de miel I	S1	époux I.2
dégagé	Anti	encombré
tenir debout	A1	crédible a
malheur II	Syn	calamité
malheur II	Syn	coup de grâce II.b
philosophie III.1a	Syn	politique N, fém I.2
tourment	Syn	angoisse
levé II	Syn	debout III.1
levé II	Anti	couché III
ombre II	Syn	tache II
nuage II.4	Syn	amas 2
nuage II.4	S1	point N III.1a
nuage II.4	S1	mot I.1
couché III	Anti	debout III.1
couché III	Anti	levé II
couché III	Anti	sur pied I.1
couché III	Syn	endormi I
couché III	Pred	être V IV.2a
couché III	Pred	se coucher II
couché III	Pred	coucher V IV.1
couché III	Sloc	lit I.1a
couché III	Pred	lever V III
couché III	Pred	se lever III
couché III	Pred	se recoucher
couché III	Pred	recoucher
philosophie III.1b	Syn	calme N I.1
philosophie III.2	Syn	esprit II
fleuve des Enfers	S1	mort N, masc
fleuve des Enfers	Syn	fleuve des morts
fleuve des morts	S1	mort N, masc
fleuve des morts	Syn	fleuve des Enfers
philosophique	S0	philosophie I
fleuve de lait et de miel	Syn	eldorado
cérumen	Syn	miel 1 II
philosophiquement	S0	philosophie I
couché IV	Anti	debout IV.1
couché IV	Anti	verticalement
couché IV	Syn	horizontalement
couché IV	Pred	se coucher III.1a
couché IV	Pred	se coucher III.1b
couché IV	Pred	coucher V IV.2
couché IV	Pred	coucher V IV.3
lueur II	Syn	éclair 1 II.2
chapeau rouge	Gener	titre I
philo	Syn	philosophie I
délabré	Syn	détérioré
délabré	Syn	endommagé
détérioré	Syn	délabré
détérioré	Syn	endommagé
détérioré	Syn	abîmé
rebelle	Syn	contestataire Adj 1
doré II	Syn	miel 1 III
fluvialité I	A1	fluvial a
Zut !	Syn	Flûte ! Interj
Zut !	Syn	Mince ! Interj
Zut !	Syn	Merde ! IV
Merde ! IV	Syn	miel 2
Merde ! IV	Syn	Flûte ! Interj
Merde ! IV	Syn	Mince ! Interj
Merde ! IV	Syn	Zut !
Merde ! IV	Syn	La vache !
Merde ! IV	Syn	Putain ! II
Merde ! IV	Syn	Bordel ! III
politique Adj I.2	Syn	économique
politique Adj I.2	Syn	social I
politique Adj I.2	S0	politique N, fém I.1
esprit II	Syn	philosophie III.2
amas 1	Syn	entassement I.b
miel 1 IV.2	Syn	petit-lait II
vert VI.2	Anti	rouge III.2
allumer III	Syn	provoquer I
briller II	Syn	pétiller II
lumineux II.1	Syn	clair Adj I.1
lumineux II.1	Magn	éclatant
jeter V.3	Syn	lancer V V.3
darder	Syn	décocher II
flamme II	Syn	désir 2
de II.1	Anti	à I.1
au creux	Syn	au fond I
endommagé	Syn	délabré
endommagé	Syn	détérioré
petit-lait II	Syn	miel 1 IV.2
dormir debout	Syn	somnoler
s’allonger 1 II.2	Syn	rallonger III
s’allonger 1 II.2	Anti	diminuer IV
s’allonger 1 II.2	S0	allongement 1 II
s’allonger 1 II.2	Caus	allonger 1 II.2a
s’allonger 1 II.2	Caus	allonger 1 II.2b
s’allonger 1 I.3	Syn	augmenter II
s’allonger 1 I.3	Syn	grandir II
s’allonger 1 I.3	Syn	grossir II
s’allonger 1 I.3	Anti	diminuer III.2
s’allonger 1 I.3	Caus	allonger 1 I.3
s’allonger 1 I.3	Magn	considérablement
s’allonger 1 I.3	Magn	indéfiniment
emporter II.1	Syn	gagner IV
souffler I.2	S0	souffle II
souffler IV	S1	vent III.1
percussions II.2	Syn	percussionniste N, fém
percussions II.2	Syn	percussionniste N, masc
bois III	Gener	instrument de musique
s’allonger 1 I.2	Caus	allonger 2 I.2
s’allonger 1 I.2	Syn	se déplier
s’allonger 1 I.2	Anti	se replier I.2
s’allonger 1 III	Syn	changer I.1
s’allonger 1 III	Caus	allonger 1 IV
s’allonger 1 III	S1	figure II.1b
s’allonger 1 III	S1	gueule I.2c
s’allonger 1 III	S1	mine III
s’allonger 1 III	S1	tête I.4b
s’allonger 1 III	S1	tronche 2
s’allonger 1 III	S1	visage I.1
angine de poitrine	Gener	maladie I.1a
casse-poitrine	Syn	alcool II.2
casse-poitrine	Gener	boisson I
casse-poitrine	Gener	boisson alcoolisée
en plein I	Syn	dans I.4
mourir de la poitrine	S0	tuberculose
s’intéresser	Conv-ij	intéresser
s’intéresser	Syn	se passionner
s’intéresser	Magn	se passionner
s’intéresser	A1	intéressé
s’intéresser	Syn	aller voir II
s’échapper II	Syn	sortir V.1
s’échapper II	Syn	sortir V.2
cohérent	Anti	incohérent
autruche	Gener	oiseau a
autruche	Gener	oiseaux b
inefficace	Anti	efficace
incohérent	Anti	cohérent
rare I.2	Syn	clairsemé
définir III	S2	politique N, fém I.1
définir III	Syn	fixer II
définir III	Syn	instaurer
définir III	S0	définition III
travailler III	Syn	façonner
ambitieux Adj II	Anti	modeste Adj II
venteux	S0	vent II
gaz II	Syn	vent II
gaz II	Syn	flatuosité
flatuosité	Syn	vent II
flatuosité	Syn	gaz II
prout	Syn	vent II
prout	Syn	pet
goutte 1 II	Syn	dé à coudre II.b
larme II	Syn	dé à coudre II.b
pointe III	Syn	soupçon II
rien N	Syn	un peu I
trait III	Syn	nuage II.2
nettoyage II.1	V0	nettoyer II.1
œufs au plat II	Syn	poitrine 3
debout I.b	Anti	assis I.1b
debout I.b	Anti	couché I.1b
debout I.b	V0	debout I.b
debout I.b	Pred	se remettre I
debout I.b	Pred	remettre I.1
debout I.b	Pred	mettre I.1a
debout I.b	Pred	se mettre I
clairsemé	Anti	abondant I.1
clairsemé	Syn	rare I.2
magnifique 2	Syn	bellissime
lard	Mult	poitrine 2
lard	Gener	charcuterie I
orphelin N II	Syn	abandonné N, masc II
orphelin N II	A1	orphelin Adj II.1
déchirure 2	2-II	musculaire
déchirure 2	Syn	déchirement I.2
linguistique Adj 1	S0	langue II.a
machine à coudre	S2	tissu I
montrer les dents I	A1	menaçant I.1
orphelin N I.b	A1	orphelin Adj I.1b
orphelin N I.b	Syn	orpheline b
orphelin N I.b	A0	orphelin Adj I.2
orphelin N I.b	S2	mère 1 I.1b
orphelin N I.b	S2	père I.1b
orphelin N I.b	S2	parents N 1b
orphelin N I.b	Syn	abandonné N, masc I
orphelin N I.b	Syn	orphelin N I.a
nettoyage I.5	V0	nettoyer I.5
orphelin Adj I.1b	Syn	abandonné Adj 2
orphelin Adj I.1b	Syn	orphelin Adj I.1a
orphelin Adj I.1b	S1	orphelin N I.b
orphelin Adj I.1b	S1	orpheline b
orphelin Adj I.1b	S2	mère 1 I.1b
orphelin Adj I.1b	S2	père I.1b
orphelin Adj I.1b	S2	parents N 1b
nettoyage II.2	V0	nettoyer II.2
nettoyage II.2	S1	chirurgien
nettoyage II.2	S1	chirurgienne
miellerie	S2	miel 1 I
mellification	S1	abeilles I.b
mellification	V0	mellifier
vache I.b	Gener	viande
vache I.b	S2	vache I.a
vache I.b	Real1	manger V I.1a
vache II.1b	Syn	gros N
vache II.1b	Syn	grosse
vache II.1b	Syn	baleine III
vache II.1b	Syn	éléphant II.1
vache II.1b	Magn	gros Adj III.1
nettoyage I.2	V0	nettoyer I.2
nettoyage I.4	V0	nettoyer I.4
cracher IV	Syn	projeter I.1
luire 1	Syn	briller I.1
sillonner III	S1	éclair 1 I.1
observer III	Syn	respecter II.2a
observer III	S0	observation II
nez II	Syn	face N I
nez II	Syn	visage I.1
nez II	Syn	tête I.4b
nez II	Syn	figure II.1a
nez II	Syn	museau I.3
nez VI	Syn	intuition I
pectoral	S0	poitrine 1a
pectoral	S0	poitrine 1b
creux Adj II.2	Syn	maigre I
baleine III	Syn	éléphant II.1
baleine III	Syn	vache II.1b
paroxysme	Syn	summum
Putain ! II	Syn	Merde ! IV
Putain ! II	Syn	La vache !
rafraîchir II	S2	cheveu I.1
rafraîchir II	S2	cheveux I.2a
tondre	Syn	couper I.1a
tondre	S3	tondeuse
ratiboiser	Syn	tondre
ratiboiser	Syn	raser a
effiler	S1	coiffeur I
effiler	S1	coiffeuse 1
effiler	S2	cheveu I.1
effiler	S2	cheveux I.2a
durant 2	Syn	pendant Prép 2
durant 2	Syn	depuis I.2
déchirer II.1	S1	éclair 1 I.1
déchirer II.1	S1	cri I.1a
fendre II	Syn	pourfendre II
jaillir II	Syn	surgir
frapper IV	Syn	toucher V III.2
vif II.2	Syn	intense
aveuglant	Syn	éblouissant I
foudroyant	Syn	fulgurant
stratégique b	Syn	important 1
à long terme	Anti	à court terme
à long terme	Syn	de longue haleine
à court terme	Anti	à long terme
debout III.3	Pred	mettre III
debout III.3	Syn	sur pied II
debout III.3	Pred	remettre III
debout III.3	Pred	être V IV.2a
ben 1 I	Syn	bien Adv 1
ben 1 III.a	Syn	bien Adv 5b
à nouveau 1	Syn	de nouveau
ben 1 III.b	Syn	bien Adv 5a
ben 1 II	Syn	bien Adv 2b
ben 1 IV	Syn	Eh bien
ben 1 IV	Syn	alors III
se dégarnir	Syn	se déplumer
se déplumer	Syn	se dégarnir
nuageux 1	S0	nuage I
social I	Syn	économique
politiquement II	A0	politique Adj II
politiquement correct	Syn	comme il faut I.2
éléphanteau	Gener	animal N I.1a
éléphanteau	Syn	petit N 2b
barrir	S0	barrissement
barrir	S1	éléphant I
barrir	S1	rhinocéros
parente	Syn	parent N 2
barrissement	V0	barrir
quand bien même	Conv-ij	bien que
pachyderme I.b	Syn	éléphant I
pachyderme II	Syn	éléphant II.1
cornac	Syn	soigneur 1
à dos	Syn	sur I.1
pas mal II	Syn	bien Adj I,1
proprement III.2	A0	propre Adj 1 IV.1
proprement III.2	Syn	correctement 2
barrique II	Syn	éléphant II.1
barrique I	Syn	tonneau I
hippopotame I	Gener	animal N I.1a
hippopotame II	Syn	éléphant II.1
affaire III	Syn	entreprise II.1
magistrature debout	Contr	magistrature assise
magistrature debout	Gener	magistrature
complètement II	Syn	bien Adv 2b
parfaitement II.1	Syn	complètement II
éléphant de mer	Gener	animal N I.1b
éléphant de mer	Sloc	mer I.2
passablement	Syn	tant bien que mal
terriblement	Syn	bien Adv 2b
énormément 1	Syn	beaucoup II
rudement III	Syn	très
rudement III	Syn	bien Adv 2b
intensément 2	Syn	très
intensément 2	Syn	bien Adv 2b
hautement	Syn	bien Adv 2b
patte d’éléphant I	S1	pantalon
patte d’éléphant I	S1	jambes II
arrière-petite-fille	Syn	petite-fille
arrière-petite-fille	Contr	arrière-petit-fils
arrière-grand-parent	Syn	arrière-grand-mère
arrière-grand-parent	Syn	arrière-grand-père
arrière-petit-fils	Syn	petit-fils
arrière-petit-fils	Contr	arrière-petite-fille
proprement III.1	A0	propre Adj 1 III
proprement III.1	Anti	salement III.1
proprement III.1	Syn	soigneusement
patte d’éléphant II	Gener	pantalon
patte d’éléphant II	Gener	vêtement I.1
éléphant dans un magasin de porcelaine	A1	maladroit Adj I
incorrectement 1	Anti	correctement 1
incorrectement 2	Syn	mal Adv I.2
couché I.1b	Anti	debout I.b
couché I.1b	Syn	assis I.1b
couché I.1b	Pred	être V IV.2a
couché I.1b	Pred	se coucher I.1b
couché I.1b	Pred	s’allonger 2 I.b
couché I.1b	Pred	se mettre I
couché I.1b	V0	couché I.1b
couché I.1b	Pred	rester II
couché I.1b	Pred	se remettre I
couché I.1b	Pred	se lever I.b
robuste	Syn	solide Adj III
insuffisamment II	Syn	mal Adv I.1
insuffisamment II	Anti	suffisamment II
poitrail 1	Syn	poitrine 1b
poitrail 2	Syn	poitrine 1a
sévir	S1	tempête I.1
proprement IV.2	Syn	carrément II
proprement IV.2	Syn	franchement III.2
voir des éléphants roses	Syn	halluciner
volcan II	Syn	champ de mines II
volcan II	Syn	poudrière II
volcan II	Fact0	exploser II
volcan II	Fact@	menacer II
volcan III.2	Syn	geyser II.2
volcan III.2	Syn	festival II
proprement III.3	Anti	salement III.2
débit III	S1	cours d’eau
débit III	S1	fleuve I
débit III	S1	rivière I
éolien	S0	vent I.1
plus tard	Syn	après Prép I.2
crever I.2	Syn	éclater I.2
se précipiter I	Syn	se jeter I
après Prép II	Syn	derrière Prép I.2
après Prép II	Anti	avant Prép II.1
après Prép III	Syn	à III.1a
après Prép III	Syn	vers III
après Prép IV	Syn	maintenant II
après Prép IV	Syn	Ceci dit
pachydermes I.a	Syn	éléphant I
cimetière des éléphants I	S1	éléphant I
cimetière des éléphants II	Syn	oubliettes II
buffet III	Syn	poitrine 1a
calme plat	Anti	vent I.1
doux III.2	Syn	agréable 2
épais 3	Syn	compact I
fin Adj II	Syn	serré III
bruine	Syn	pluie I
bruine	Syn	crachin
crachin	Syn	pluie I
crachin	Syn	bruine
fulgurant	Syn	foudroyant
terrible II	Syn	violent Adj II
zébrer	Sres	zébrure II
embraser	Syn	éclairer
foudroyer	S1	éclair 1 I.1
à la vitesse de [Y]	Syn	rapidement I
comme un éclair	Syn	comme l’éclair
en l’éclair	Syn	en l’espace
en l’éclair	Syn	en Prép V.2
voile N, masc I.1	Syn	étoffe
banc 2 I	S1	nuage I
fallacieux	Syn	faux Adj I
boiteux Adj I	V0	boiter I
boiteux Adj II	Syn	douteux
métaphore	Syn	analogie a
métaphore	Syn	comparaison 2
métaphore	Syn	image III
planche à pain	Syn	poitrine 3
planche à pain	Syn	limande II
limande II	Syn	planche à pain
avantageux II	Syn	flatteur II
jeter IV.1	Syn	projeter II.1
éclair de magnésium	S1	appareil photo
avant Prép II.1	Anti	après Prép II
ponte N, masc	Syn	éléphant II.2
ponte N, masc	Syn	gros bonnet
manger V VI.2a	Syn	bouffer 1 V.3
manger V VI.2a	Syn	avaler III
manger V VI.2a	Anti	restituer II
noter III	Syn	remarquer
saisissant	Syn	frappant
fort Adj III.1	Syn	frappant
profond Adj II	Syn	intense
étroit II	Adv0	étroitement II
étroit II	Syn	intime Adj II.4
étroit II	Syn	intime Adj II.2
tracer II	Syn	décrire I.1
s’allonger 2 I.a	Syn	se coucher I.1a
s’allonger 2 I.a	Syn	s’asseoir I.a
s’allonger 2 I.a	S2	lit I.1a
s’allonger 2 I.a	Contr	se lever I.a
s’allonger 2 I.a	Caus	allonger 2 I.1
s’allonger 2 III	Syn	s’étendre II
s’allonger 2 III	Syn	s’étaler
s’allonger 2 III	Syn	arriver II.1
défectueusement	Syn	mal Adv I.1
allonger 2 I.1	Syn	coucher V III
allonger 2 I.1	Able3	allongeable II
allonger 2 I.1	A2	couché I.1a
allonger 2 I.1	Syn	asseoir I.a
allonger 2 I.1	Syn	aliter 1
allonger 2 IV	Syn	payer I.1
allonger 2 IV	Syn	régler III
allonger 2 IV	Syn	donner I.1
allonger 2 IV	Syn	abouler
incomplètement II	Syn	mal Adv I.1
imparfaitement	Syn	mal Adv I.1
grossir II	Syn	augmenter II
Il n’y a pas de mal.	Syn	Il n’y a pas de souci.
opposition II	Anti	analogie a
rapport 1 I.1	Syn	relation I.1
rapport 1 I.1	Syn	lien II.1
mettre à mal	Syn	menacer II
en mal	Syn	sans I.3a
prendre VII	Bon	bien Adv 1
prendre VII	AntiBon	mal Adv II
prendre VII	Syn	réagir II.1
association I	Syn	analogie a
association I	V0	associer
lien II.1	Syn	analogie a
lien II.1	Syn	rapport 1 I.1
lien II.1	Magn	intime Adj II.4
lien II.1	Magn	étroit II
rapprochement II	Syn	analogie a
rapprochement II	Syn	parallèle N, masc
parenté II	Syn	analogie b
parenté II	Syn	ressemblance 2
affinité	Syn	ressemblance 1
intéressant	Syn	passionnant
intéressant	Anti	inintéressant
intéressant	Magn	passionnant
intéressant	Syn	goûteux II
image III	Syn	analogie a
image III	Syn	métaphore
dissimilitude	Anti	similitude
dissimilitude	Anti	ressemblance 1
flagrant	Syn	frappant
flagrant	Syn	marqué II
identité I	A1	identique II
identité I	Syn	similitude
identité I	A0	identitaire I
y avoir plus de peur que de mal	Syn	Ce n’est pas grave.
régler III	Syn	payer I.2
régler III	S0	règlement II
trèfle I	Gener	plante 1
trèfle II	Syn	pique N, masc
trèfle II	Syn	cœur II.2
trèfle II	Syn	carreau III
carreau III	Gener	couleur III.2a
cœur II.2	Syn	carreau III
cœur II.2	Contr	pique N, masc
cœur II.2	Contr	trèfle II
cœur II.2	Gener	couleur III.2a
cratère	S1	volcan I
hisser	Syn	lever V I
hisser	S2	voile N, fém I
hisser	S2	drapeau
résorber I	S1	médecin N, masc
résorber I	S1	médecin N, fém
résorber I	S1	chirurgien
résorber I	S1	chirurgienne
résorber II	Syn	diminuer III.3
se lever IV.2	Syn	disparaître I
se lever IV.2	Syn	se dissiper
se lever IV.2	Caus	balayer II.1
se lever IV.2	Caus	chasser III
se lever IV.2	Caus	disperser
se lever IV.2	Caus	dissiper I
se lever IV.2	Anti	se lever IV.1b
se lever IV.2	Anti	apparaître III
disperser	Syn	chasser III
fuir III	S1	nuage I
interprète N, masc II	Syn	interprète N, fém II
interprète N, masc I	Syn	interprète N, fém I
interprète N, masc I	Syn	traducteur
interprète N, fém II	Syn	interprète N, masc II
interprète N, fém I	Syn	interprète N, masc I
interprète N, fém I	Syn	traductrice
crépiter	S0	crépitement
tambouriner	Syn	frapper I
au sein	Syn	dans I.1
eau I.b	Syn	eau I.a
eau I.b	Syn	eau douce
eau I.b	Syn	eau de mer
eau I.b	Sloc	cours d’eau
eau I.b	Sloc	étendue d’eau
vert VII.3	Syn	écologique I.2
vert VII.3	Syn	propre Adj 1 II.4
orphelin Adj I.2	S0	orphelin N I.a
orphelin Adj I.2	S0	orphelin N I.b
orphelin Adj II.1	S1	orphelin N II
orphelin Adj II.1	Syn	sans I.2
orphelin Adj II.1	Syn	veuf Adj II
orphelin Adj II.3	Syn	dépourvu
orphelin Adj II.3	Syn	sans I.1
à l’abri II.1	Anti	sous II.1
aigre I	Syn	âcre
aigre I	S0	aigreur I
aigre II	S0	aigreur II
noyer V II	Anti	assécher
rouge III.1	Syn	dangereux 1
rouge III.1	Syn	risqué
proprement II	A0	propre Adj 1 II.4
proprement II	Anti	salement II
danser sur un volcan	Syn	jouer avec le feu
poudrière II	Syn	champ de mines II
poudrière II	Syn	volcan II
volcanique II	Syn	emporté 2
volcanique II	Syn	passionné Adj 1b
volumineux	Syn	encombrant
volumineux	Syn	gros Adj III.1
ressemblance 2	V0	ressembler I.2a
ressemblance 2	Anti	dissemblance 1
ressemblance 2	Oper1	offrir III
ressemblance 2	Oper1	présenter III
ressemblance 2	Oper1	avoir V II
ressemblance 2	Oper1	offrir III
ressemblance 2	Oper1	présenter III
ressemblance 2	Oper1	rappeler II
ressemblance 2	A1	ressemblant
ressemblance 2	AntiMagn	léger IV
ressemblance 2	AntiMagn	pâle II
ressemblance 2	AntiMagn	vague Adj I
ressemblance 2	AntiMagn	lointain Adj III
ressemblance 2	Syn	parenté II
ressemblance 2	Syn	air de famille
ressemblance 2	Syn	similitude
ressemblance 2	Magn	singulier Adj I
ressemblance 2	Magn	évident
ressemblance 2	Magn	frappant
ressemblance 2	Magn	fort Adj III.1
ressemblance 2	Magn	marqué II
ressemblance 2	Magn	profond Adj II
ressemblance 2	Magn	incontestable
ressemblance 2	Magn	incroyable I
ressemblance 2	Magn	fou Adj IV.2
ressemblance 2	Magn	extraordinaire Adj 2
ressemblance 2	Magn	parfait Adj I
ressemblance 2	Magn	portrait
ressemblance 2	Fact0	frapper VI
ressemblance 2	S1	sosie
ressemblance 2	S1	clone II
ressemblance 2	S1	jumeau N II.1
ressemblance 2	S1	double N III
ressemblance 2	Func1	exister I.1
arrière-petit-neveu	Syn	petit-neveu
arrière-petit-neveu	Syn	neveu
arrière-petit-neveu	Contr	arrière-petite-nièce
arrière-neveu	Syn	neveu
arrière-neveu	Contr	arrière-nièce
ressembler I.2b	S0	ressemblance 2
ressembler I.2b	S0	ressemblance 1
ressembler I.2b	Magn	drôlement II
ressembler I.2b	Magn	vraiment I.b
ressembler I.2b	Magn	à s’y méprendre
ressembler I.2b	Magn	furieusement II
ressembler II	Syn	caractériser 2
ressembler II	Syn	correspondre I.1
ressembler II	Anti	correspondre I.1
ressembler II	A1	ressemblant
ressembler II	Magn	vraiment I.b
montrer III	Syn	faire preuve
montrer III	Syn	manifester 1
montrer III	Syn	accuser III.1
C’est celui qui le dit qui y est !	Syn	insulte
exposé Adj III	Syn	en butte
proprement IV.1	A0	propre Adj 1 IV.2
proprement IV.1	Syn	honnêtement I.a
arrière-petite-nièce	Syn	petite-nièce
arrière-petite-nièce	Syn	nièce
arrière-petite-nièce	Contr	arrière-petit-neveu
arrière-nièce	Syn	nièce
arrière-nièce	Contr	arrière-neveu
riche Adj II.2	Syn	abondant I.2
riche Adj II.2	A1	abondant I.1
puissant Adj II.2	Syn	majestueux II
braver	Syn	affronter II
emporter I.2	Syn	charrier I
teinture II.2	Syn	coloration II
teinture II.2	Syn	couleur II.2a
coloration II	Syn	couleur II.2a
coloration II	Syn	teinture II.2
coloriste N, masc	Syn	coloriste N, fém
coloriste N, fém	Syn	coloriste N, masc
salement II	Anti	proprement II
salement II	A0	sale Adj II.3
racine 2	Syn	base 1 I.1
acte de présence	Oper1	faire II.1
cap des Tempêtes	Syn	cap de Bonne-Espérance
planer 1 I.2	Syn	flotter II
raviner	Syn	creuser I.3
transpercer I	Syn	pénétrer II
transpercer II	Syn	traverser III.1
dru I	Syn	dense 2
dru II.a	S1	neige I.1
dru II.a	S1	pluie I
dru II.a	Adv0	dru II.b
ressembler I.2a	A1	ressemblant
ressembler I.2a	Magn	pas mal I.1
ressembler I.2a	Magn	quelque peu
ressembler I.2a	Magn	beaucoup II
ressembler I.2a	Magn	vraiment I.b
ressembler I.2a	Magn	fort Adv II.2
ressembler I.2a	Magn	drôlement II
ressembler I.2a	Magn	étonnamment
ressembler I.2a	Magn	à s’y méprendre
ressembler I.2a	Magn	énormément 1
ressembler I.2a	Magn	furieusement II
ressembler I.2a	Magn	terriblement
ressembler I.2a	Magn	comme un frère
ressembler I.2a	Magn	comme une sœur
ressembler I.2a	AntiMagn	peu II
ressembler I.2a	AntiMagn	vaguement
ressembler I.2a	AntiMagn	de loin
ressembler I.2a	AntiMagn	en rien
ressembler I.2a	AntiMagn	aucunement
ressembler I.2a	AntiMagn	du tout
ressembler I.2a	Anti	différer
ressembler I.2a	S0	ressemblance 2
ressembler I.2a	S0	similitude
briquet-tempête	Gener	briquet
franchir le cap des Tempêtes	Syn	remonter la pente
lampe-tempête	Gener	lampe
oiseau des tempêtes	Syn	pétrel
oiseau des tempêtes	Gener	oiseau a
oiseau des tempêtes	Gener	oiseaux b
pétrel-tempête	Gener	oiseau a
pétrel-tempête	Gener	oiseaux b
pétrel-tempête	Syn	pétrel
s’assurer un port dans la tempête	Syn	économiser I
bras de Morphée	Syn	sommeil I.1a
en repos	Contr	en activité
salle à manger	Gener	pièce III.a
mange-disque	Syn	tourne-disque
à peine	Syn	seulement 1
manger du curé	Syn	bouffer 1 IV.4b
manger dans la même écuelle	Syn	partager II
manger la laine sur le dos	Conv-ij	se laisser bouffer
manger la laine sur le dos	Syn	marcher sur les pieds
manger le morceau	Syn	avouer
manger le morceau	Syn	dénoncer II
manger le morceau	Syn	balancer II
péril I	Syn	danger I
péril I	Oper1	courir VI
péril II	Syn	menace II
se réveiller II	Anti	s’endormir II.2
dormir II.2a	A1	endormi II
dormir II.2a	A1	dormant
dormir II.2a	S0	sommeil II
dormir II.2a	Syn	roupiller II.2
dormir II.2a	Syn	sommeiller I
dormir II.2a	Fin	se réveiller II
montagne de feu	Syn	volcan I
manger son pain blanc	Syn	galérer 2
manger les pissenlits par la racine	Syn	bouffer les pissenlits par la racine
manger les pissenlits par la racine	A1	mort Adj I
ne pas manger de ce pain-là	A1	honnête I.a
manger à tous les râteliers	Syn	bouffer à tous les râteliers
manger à tous les râteliers	Syn	profiter 3
manger à tous les râteliers	Syn	tirer la couverture à soi
fréquenter 2	Syn	aller voir I
fréquenter 2	Syn	visiter I.1
à quelle sauce _N sera mangé	Syn	avenir
manger la soupe sur la tête	Syn	bouffer la soupe sur la tête
manger la soupe sur la tête	A1	grand Adj I.3b
manger la grenouille	Syn	bouffer la grenouille
manger la grenouille	Syn	dilapider
se propager I	Syn	se répandre I
se propager II	Syn	circuler IV
courir deux lièvres à la fois	Syn	se disperser II
manger la poussière	Syn	bouffer la poussière
manger la poussière	Syn	perdre IV
courir les rues	Syn	exister I.1
courir les rues	Syn	abonder I
manger son chapeau	Syn	revenir II.1
manger son chapeau	Syn	avaler son chapeau
à manger du foin	Syn	très
manger du lion	Syn	bouffer du lion
manger du lion	Result1	péter II.2
manger dans la main	Syn	bouffer dans la main
manger dans la main	A1	dépendant I
manger son blé en herbe	Syn	dilapider
manger son blé en herbe	Syn	gaspiller I
blanc-manger	Syn	gelée
garde-manger	Syn	placard 1 I
mange-tout	Gener	légume I.1a
mange-mil	Gener	oiseau a
mange-mil	Gener	oiseaux b
courir à sa perte	Syn	s’exposer
courir III.2	Syn	chasser I
courir III.2	Syn	courre V
courir III.2	S0	courre N
volcan III.1	A1	volcanique II
tempête dans un verre d’eau	Syn	désaccord
tempête dans un verre d’eau	Syn	dispute
tempête magnétique	Syn	orage magnétique
écuries d’Augias I	Gener	écurie
